"EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","PERSON_ID","PERSON_NUMBER","BLOOD_TYPE","CORRESPONDENCE_LANGUAGE","START_DATE","DATE_OF_BIRTH","DATE_OF_DEATH","COUNTRY_OF_BIRTH","REGION_OF_BIRTH","TOWN_OF_BIRTH","SOURCESYSTEMOWNER","SOURCESYSTEMID","ACTIONCODE","REASONCODE","PERSONDUPLICATECHECK","RETIREMENTDATE"
"31-03-2002","31-12-4712",10618,"1057",,,"31-03-2002","19-06-1950",,,,,,,,,,
"31-03-2002","31-12-4712",10617,"1056",,,"31-03-2002","19-06-1955",,,,,,,,,,
"31-03-2002","31-12-4712",10615,"1054",,,"31-03-2002","19-06-1965",,,,,,,,,,
"31-03-2002","31-12-4712",10616,"1055",,,"31-03-2002","19-06-1965",,,,,,,,,,
"31-03-2000","31-12-4712",3755,"357",,,"27-08-1999","05-10-1964",,,,,,,,,,
"31-01-2012","31-12-4712",29343,"2022",,,"13-09-2007","12-12-1966",,,,,,,,,,
"31-01-2003","31-12-4712",23311,"218",,,"11-02-2000","10-08-1960",,,,,,,,,,
"31-01-2001","31-12-4712",4120,"381",,,"31-01-2001","19-01-1968",,,,,,,,,,
"31-01-2001","31-12-4712",4381,"50",,,"01-01-2001","12-04-1967",,"US","East","Reston",,,,,,
"30-12-2005","31-12-4712",27421,"1864",,,"30-12-2005","19-06-1965",,,,,,,,,,
"30-12-1995","31-12-4712",141,"71",,,"30-12-1995","04-05-1973",,,,,,,,,,
"30-11-2008","31-12-4712",28160,"341",,,"30-11-2008","20-02-1969",,,,,,,,,,
"30-11-2007","31-12-4712",28947,"432",,,"30-11-2007","20-02-1969",,,,,,,,,,
"30-11-2006","31-12-4712",13782,"1394",,,"11-11-2005","04-04-1962",,,,,,,,,,
"30-11-2005","31-12-4712",23462,"240",,,"30-11-2005","20-02-1969",,,,,,,,,,
"30-11-2001","31-12-4712",10925,"1103",,,"02-01-2000","22-10-1955",,,,,,,,,,
"30-10-2010","31-12-4712",29284,"1963",,,"01-07-2001","12-12-1966",,,,,,,,,,
"30-10-2007","31-12-4712",23181,"1828",,,"01-07-1996","12-12-1966",,,,,,,,,,
"30-10-2007","31-12-4712",23378,"285",,,"30-10-2007","12-12-1966",,,,,,,,,,
"30-10-2006","31-12-4712",23346,"253",,,"30-10-2006","19-06-1951",,,,,,,,,,
"30-10-2004","31-12-4712",14106,"163",,,"30-10-2004","19-06-1951",,,,,,,,,,
"30-10-1991","31-12-4712",164,"88",,,"30-10-1991","24-01-1960",,,,,,,,,,
"30-10-1991","31-12-4712",162,"87",,,"30-10-1991","04-06-1938",,,,,,,,,,
"30-09-2009","31-12-4712",28838,"424",,,"30-09-2009","04-04-1962",,,,,,,,,,
"30-09-2007","31-12-4712",28215,"351",,,"30-09-2007","04-04-1962",,,,,,,,,,
"30-09-2007","31-12-4712",29270,"1949",,,"30-09-2007","10-09-1959",,,,,,,,,,
"30-09-2007","31-12-4712",28124,"305",,,"30-09-2007","04-04-1962",,,,,,,,,,
"30-09-2006","31-12-4712",28911,"396",,,"30-09-2006","04-04-1962",,,,,,,,,,
"30-09-2006","31-12-4712",23332,"239",,,"20-08-2001","12-12-1966",,,,,,,,,,
"30-09-2005","31-12-4712",13847,"1459",,,"20-09-2002","12-12-1966",,,,,,,,,,
"30-09-2005","31-12-4712",23167,"1814",,,"30-09-2005","10-09-1959",,,,,,,,,,
"30-09-2004","31-12-4712",23426,"204",,,"30-09-2004","04-04-1962",,,,,,,,,,
"30-09-2004","31-12-4712",15969,"246",,,"30-09-2004","04-04-1962",,,,,,,,,,
"30-09-2003","31-12-4712",14147,"1501",,,"17-05-2001","11-06-1971",,,,,,,,,,
"30-08-2009","31-12-4712",28823,"409",,,"30-08-2009","19-06-1951",,,,,,,,,,
"30-08-2007","31-12-4712",28200,"336",,,"30-08-2007","19-06-1951",,,,,,,,,,
"30-08-2007","31-12-4712",28109,"290",,,"30-08-2007","19-06-1981",,,,,,,,,,
"30-08-2006","31-12-4712",27674,"1873",,,"30-08-2006","30-06-1970",,,,,,,,,,
"30-08-2006","31-12-4712",27675,"1874",,,"30-08-2006","02-02-1984",,,,,,,,,,
"30-08-2006","31-12-4712",28896,"381",,,"30-08-2006","19-06-1981",,,,,,,,,,
"30-08-2006","31-12-4712",29246,"1942",,,"30-08-2006","19-06-1965",,,,,,,,,,
"30-08-2006","31-12-4712",28794,"1903",,,"30-08-2006","19-02-1966",,,,,,,,,,
"30-08-2005","31-12-4712",27671,"1870",,,"30-08-2005","17-03-1966",,,,,,,,,,
"30-08-2004","31-12-4712",15954,"231",,,"30-08-2004","19-06-1951",,,,,,,,,,
"30-08-2004","31-12-4712",23411,"189",,,"30-08-2004","19-06-1981",,,,,,,,,,
"30-08-2000","31-12-4712",58,"39",,,"01-04-1995","10-11-1952",,,,,,,,,,
"30-08-2000","31-12-4712",3459,"320",,,"07-03-1999","16-09-1966",,,,,,,,,,
"30-08-2000","31-12-4712",1506,"203",,,"01-01-1998","11-05-1932",,,,,,,,,,
"30-08-1999","31-12-4712",3505,"325",,,"30-08-1999","03-10-1962",,,,,,,,,,
"30-06-2010","31-12-4712",28870,"456",,,"30-06-2010","10-08-1960",,,,,,,,,,
"30-06-2008","31-12-4712",28156,"337",,,"30-06-2008","10-08-1960",,,,,,,,,,
"30-06-2008","31-12-4712",28247,"383",,,"30-06-2008","10-08-1960",,,,,,,,,,
"30-06-2007","31-12-4712",13753,"1365",,,"30-06-2007","10-08-1960",,,,,,,,,,
"30-06-2007","31-12-4712",28943,"428",,,"30-06-2007","10-08-1960",,,,,,,,,,
"30-06-2007","31-12-4712",29328,"2007",,,"02-09-2000","06-08-1960",,,,,,,,,,
"30-06-2005","31-12-4712",16001,"278",,,"30-06-2005","10-08-1960",,,,,,,,,,
"30-06-2005","31-12-4712",13848,"1460",,,"30-06-2005","28-02-1949",,,,,,,,,,
"30-06-2005","31-12-4712",23458,"236",,,"30-06-2005","10-08-1960",,,,,,,,,,
"30-06-2004","31-12-4712",14152,"1506",,,"17-02-2002","04-02-1978",,,,,,,,,,
"30-05-2008","31-12-4712",23347,"254",,,"30-05-2008","10-08-1960",,,,,,,,,,
"30-05-2007","31-12-4712",13760,"1372",,,"30-05-2007","28-02-1949",,,,,,,,,,
"30-05-2006","31-12-4712",14108,"165",,,"30-05-2006","10-09-1959",,,,,,,,,,
"30-05-2004","31-12-4712",13639,"1315",,,"02-02-2001","19-06-1965",,,,,,,,,,
"30-04-2005","31-12-4712",23182,"1829",,,"30-04-2005","22-10-1955",,,,,,,,,,
"30-03-2010","31-12-4712",28857,"443",,,"30-03-2010","10-09-1959",,,,,,,,,,
"30-03-2008","31-12-4712",28143,"324",,,"30-03-2008","10-09-1978",,,,,,,,,,
"30-03-2008","31-12-4712",28234,"370",,,"30-03-2008","10-09-1959",,,,,,,,,,
"30-03-2007","31-12-4712",28930,"415",,,"30-03-2007","10-09-1978",,,,,,,,,,
"30-03-2005","31-12-4712",15988,"265",,,"30-03-2005","10-09-1959",,,,,,,,,,
"30-03-2005","31-12-4712",23445,"223",,,"30-03-2005","10-09-1978",,,,,,,,,,
"30-03-2003","31-12-4712",11005,"1138",,,"19-01-2003","28-02-1949",,,,,,,,,,
"30-03-2002","31-12-4712",10924,"1102",,,"12-02-2000","28-02-1949",,,,,,,,,,
"30-03-1993","31-12-4712",173,"94",,,"30-03-1993","22-11-1972",,,,,,,,,,
"30-03-1993","31-12-4712",172,"93",,,"30-03-1993","02-09-1955",,,,,,,,,,
"30-01-2007","31-12-4712",13786,"1398",,,"30-01-2007","12-12-1966",,,,,,,,,,
"30-01-2007","31-12-4712",23377,"284",,,"30-01-2007","10-09-1959",,,,,,,,,,
"30-01-2006","31-12-4712",14095,"152",,,"30-01-2006","22-10-1955",,,,,,,,,,
"30-01-2003","31-12-4712",10247,"1049",,,"30-01-2003","04-04-1965",,,,,,,,,,
"30-01-1995","31-12-4712",12153,"68",,,"28-01-1995","12-05-1955",,,,,,,,,,
"29-12-2007","31-12-4712",29330,"2009",,,"03-03-2005","22-06-1975",,,,,,,,,,
"29-12-2004","31-12-4712",14120,"177",,,"14-01-2004","10-08-1960",,,,,,,,,,
"29-12-2000","31-12-4712",3226,"303",,,"01-08-2000","18-09-1972",,,,,,,,,,
"29-11-2007","31-12-4712",13884,"1496",,,"30-06-2006","19-06-1951",,,,,,,,,,
"29-10-2010","31-12-4712",29321,"2000",,,"30-06-2006","19-06-1969",,,,,,,,,,
"29-10-2010","31-12-4712",29346,"2025",,,"30-06-2008","19-06-1971",,,,,,,,,,
"29-10-2007","31-12-4712",13735,"1347",,,"30-06-2004","19-06-1951",,,,,,,,,,
"29-10-2007","31-12-4712",13868,"1480",,,"30-06-2005","19-06-1951",,,,,,,,,,
"29-09-2010","31-12-4712",28863,"449",,,"29-09-2010","10-09-1959",,,,,,,,,,
"29-09-2008","31-12-4712",28149,"330",,,"29-09-2008","10-09-1978",,,,,,,,,,
"29-09-2008","31-12-4712",28240,"376",,,"29-09-2008","10-09-1959",,,,,,,,,,
"29-09-2007","31-12-4712",28936,"421",,,"29-09-2007","10-09-1978",,,,,,,,,,
"29-09-2005","31-12-4712",23451,"229",,,"29-09-2005","10-09-1978",,,,,,,,,,
"29-09-2005","31-12-4712",15994,"271",,,"29-09-2005","10-09-1959",,,,,,,,,,
"29-09-2004","31-12-4712",11013,"1146",,,"12-01-2004","19-06-1951",,,,,,,,,,
"29-08-2005","31-12-4712",14121,"178",,,"29-08-2005","12-12-1966",,,,,,,,,,
"29-08-2004","31-12-4712",23318,"225",,,"19-04-2000","19-06-1951",,,,,,,,,,
"29-08-2002","31-12-4712",11058,"1179",,,"19-01-1997","04-04-1962",,,,,,,,,,
"29-08-2002","31-12-4712",10897,"1075",,,"19-01-1997","04-04-1962",,,,,,,,,,
"29-08-2000","31-12-4712",3438,"315",,,"29-08-2000","10-08-1968",,,,,,,,,,
"29-08-2000","31-12-4712",3437,"314",,,"29-08-2000","10-08-1968",,,,,,,,,,
"29-08-2000","31-12-4712",3456,"317",,,"29-08-2000","10-08-1968",,,,,,,,,,
"29-06-2005","31-12-4712",23372,"279",,,"29-06-2005","19-06-1951",,,,,,,,,,
"29-05-2005","31-12-4712",9084,"1000",,,"13-04-2005","21-08-1971",,,,,,,,,,
"29-05-1998","31-12-4712",168,"90",,,"11-12-1991","11-12-1971",,,,,,,,,,
"29-05-1994","31-12-4712",174,"95",,,"29-05-1994","23-10-1950",,,,,,,,,,
"29-03-2006","31-12-4712",14190,"1537",,,"01-12-2004","19-07-1965",,,,,,,,,,
"29-01-2008","31-12-4712",23340,"247",,,"21-06-2004","10-09-1959",,,,,,,,,,
"29-01-1999","31-12-4712",3436,"313",,,"29-01-1999","11-11-1950",,"US",,,,,,,,
"28-09-2010","31-12-4712",28872,"458",,,"28-09-2010","12-12-1966",,,,,,,,,,
"28-09-2008","31-12-4712",28158,"339",,,"28-09-2008","12-12-1966",,,,,,,,,,
"28-09-2008","31-12-4712",28249,"385",,,"28-09-2008","12-12-1966",,,,,,,,,,
"28-09-2007","31-12-4712",28945,"430",,,"28-09-2007","12-12-1966",,,,,,,,,,
"28-09-2005","31-12-4712",16003,"280",,,"28-09-2005","12-12-1966",,,,,,,,,,
"28-09-2005","31-12-4712",23460,"238",,,"28-09-2005","12-12-1966",,,,,,,,,,
"28-08-2008","31-12-4712",31356,"2107",,,"28-08-2008","31-08-1985",,,,,,,,,,
"28-08-1995","31-12-4712",21,"20",,,"31-07-1993","30-06-1963",,,,,,,,,,
"28-07-2009","31-12-4712",28828,"414",,,"28-07-2009","10-09-1959",,,,,,,,,,
"28-07-2007","31-12-4712",28114,"295",,,"28-07-2007","10-09-1978",,,,,,,,,,
"28-07-2007","31-12-4712",28205,"341",,,"28-07-2007","10-09-1959",,,,,,,,,,
"28-07-2006","31-12-4712",28901,"386",,,"28-07-2006","10-09-1978",,,,,,,,,,
"28-07-2005","31-12-4712",14166,"1516",,,"30-12-2001","30-09-1943",,,,,,,,,,
"28-07-2004","31-12-4712",23416,"194",,,"28-07-2004","10-09-1978",,,,,,,,,,
"28-07-2004","31-12-4712",15959,"236",,,"28-07-2004","10-09-1959",,,,,,,,,,
"28-06-1999","31-12-4712",6427,"565",,,"28-06-1999","11-04-1973",,,,,,,,,,
"28-05-2010","31-12-4712",28860,"446",,,"28-05-2010","04-04-1962",,,,,,,,,,
"28-05-2008","31-12-4712",28146,"327",,,"28-05-2008","04-04-1962",,,,,,,,,,
"28-05-2008","31-12-4712",28237,"373",,,"28-05-2008","04-04-1962",,,,,,,,,,
"28-05-2007","31-12-4712",28933,"418",,,"28-05-2007","04-04-1962",,,,,,,,,,
"28-05-2005","31-12-4712",23448,"226",,,"28-05-2005","04-04-1962",,,,,,,,,,
"28-05-2005","31-12-4712",15991,"268",,,"28-05-2005","04-04-1962",,,,,,,,,,
"28-02-2003","31-12-4712",10941,"1119",,,"30-01-2001","12-12-1966",,,,,,,,,,
"28-02-2002","31-12-4712",7019,"854",,,"01-01-2002","13-08-1973",,,,,,,,,,
"28-02-2001","31-12-4712",4446,"409",,,"28-02-2001","02-03-1962",,,,,,,,,,
"28-02-2001","31-12-4712",7572,"899",,,"28-02-2001","19-06-1966",,,,,,,,,,
"28-02-2000","31-12-4712",2589,"257",,,"19-04-1998","03-03-1933",,,,,,,,,,
"28-01-2006","31-12-4712",13802,"1414",,,"28-01-2006","10-08-1960",,,,,,,,,,
"27-10-2003","31-12-4712",14150,"1504",,,"17-02-2000","20-01-1960",,,,,,,,,,
"27-09-2004","31-12-4712",18924,"1577",,,"27-09-2004","11-06-1966",,,,,,,,,,
"27-09-2004","31-12-4712",18925,"139",,,"27-09-2004","08-01-1980",,,,,,,,,,
"27-07-2005","31-12-4712",26957,"1855",,,"27-07-2005","13-08-1962",,,,,,,,,,
"27-06-2006","31-12-4712",27813,"398273521",,,"10-06-2006","19-07-1965",,,,,,,,,,
"27-05-2003","31-12-4712",11012,"1145",,,"20-02-2003","28-02-1949",,,,,,,,,,
"27-02-2005","31-12-4712",9083,"999",,,"07-01-2005","07-08-1955",,,,,,,,,,
"27-02-2004","31-12-4712",14336,"1544",,,"27-02-2004","28-02-1961",,,,,,,,,,
"27-02-2003","31-12-4712",3392,"311",,,"01-01-1998","17-11-1971",,,,,,,,,,
"27-02-2002","31-12-4712",7553,"896",,,"27-02-2002","14-08-1967",,,,,,,,,,
"27-02-2001","31-12-4712",52,"33",,,"01-01-1987","10-06-1947",,,,,,,,,,
"27-02-2001","31-12-4712",55,"36",,,"01-01-1987","12-12-1968",,,,,,,,,,
"27-01-2003","31-12-4712",10039,"82",,,"27-01-2003","19-06-1966",,,,,,,,,,
"27-01-2003","31-12-4712",10040,"83",,,"27-01-2003","19-01-1966",,,,,,,,,,
"26-12-2001","31-12-4712",3982,"897",,,"22-08-2001","02-02-1947",,,,,,,,,,
"26-12-2001","31-12-4712",3980,"898",,,"02-02-2001","21-11-1950",,,,,,,,,,
"26-10-2001","31-12-4712",5721,"526",,,"26-10-2001","12-03-1970",,,,,,,,,,
"26-09-2008","31-12-4712",31417,"2108",,,"26-09-2008","01-01-1970",,,,,,,,,,
"26-09-2004","31-12-4712",23368,"275",,,"22-08-2002","10-09-1959",,,,,,,,,,
"26-06-2007","31-12-4712",14109,"166",,,"26-06-2007","12-12-1966",,,,,,,,,,
"26-06-2003","31-12-4712",298,"139",,,"07-12-1997","15-04-1957",,,,,,,,,,
"26-06-2001","31-12-4712",5075,"474",,,"26-06-2001","14-06-1955",,,,,,,,,,
"26-06-2001","31-12-4712",5074,"473",,,"26-06-2001","17-10-1960",,,,,,,,,,
"26-06-2001","31-12-4712",8924,"947",,,"26-06-2001","12-06-1970",,,,,,,,,,
"26-05-2009","31-12-4712",29312,"1991",,,"23-05-2008","12-12-1966",,,,,,,,,,
"26-05-2009","31-12-4712",29352,"2031",,,"23-05-2009","12-12-1966",,,,,,,,,,
"26-05-2007","31-12-4712",14184,"1531",,,"01-06-2004","19-07-1965",,,,,,,,,,
"26-05-2006","31-12-4712",13726,"1338",,,"23-05-2006","12-12-1966",,,,,,,,,,
"26-05-2006","31-12-4712",13874,"1486",,,"23-05-2006","12-12-1966",,,,,,,,,,
"26-05-2006","31-12-4712",13846,"1458",,,"23-05-2006","12-12-1966",,,,,,,,,,
"26-05-2005","31-12-4712",24229,"1844",,,"26-05-2005","19-06-1984",,,,,,,,,,
"26-05-2005","31-12-4712",24248,"1846",,,"26-03-2003","19-06-1975",,,,,,,,,,
"26-05-2005","31-12-4712",24230,"1845",,,"26-05-2005","19-06-1982",,,,,,,,,,
"26-05-2005","31-12-4712",24228,"1843",,,"26-05-2005","19-06-1974",,,,,,,,,,
"26-02-2003","31-12-4712",24249,"1847",,,"26-02-2003","19-06-1958",,,,,,,,,,
"26-01-2000","31-12-4712",2182,"229",,,"26-01-2000","10-03-1973",,,,,,,,,,
"25-12-2009","31-12-4712",29334,"2013",,,"09-10-2009","06-09-1968",,,,,,,,,,
"25-12-2006","31-12-4712",13853,"1465",,,"09-10-2006","10-09-1959",,,,,,,,,,
"25-10-2006","31-12-4712",27823,"303846389",,,"02-10-2006","02-09-1965",,,,,,,,,,
"25-10-2006","31-12-4712",27822,"392038268",,,"05-09-2006","03-02-1970",,,,,,,,,,
"25-08-2006","31-12-4712",27821,"379203757",,,"07-08-2006","12-10-1969",,,,,,,,,,
"25-08-2002","31-12-4712",5007,"456",,,"02-01-2002","11-01-1970",,,,,,,,,,
"25-07-2006","31-12-4712",13794,"1406",,,"28-02-2006","10-09-1959",,,,,,,,,,
"25-07-1993","31-12-4712",16,"15",,,"25-07-1993","24-03-1956",,,,,,,,,,
"25-06-2003","31-12-4712",11369,"1228",,,"25-06-2003","14-03-1974",,,,,,,,,,
"25-06-2001","31-12-4712",10896,"1074",,,"24-02-2001","22-10-1955",,,,,,,,,,
"25-06-2001","31-12-4712",4928,"201-49-9933",,,"01-01-1990","16-04-1971",,,,,,,,,,
"25-06-2001","31-12-4712",11057,"1178",,,"24-02-2001","22-10-1955",,,,,,,,,,
"25-06-2001","31-12-4712",4123,"384",,,"11-06-2001","02-02-1977",,,,,,,,,,
"25-05-2005","31-12-4712",10931,"1109",,,"28-02-2003","10-09-1959",,,,,,,,,,
"25-05-2002","31-12-4712",7413,"867",,,"19-02-1998","17-07-1969",,,,,,,,,,
"25-04-2004","31-12-4712",18746,"1571",,,"09-12-2002","30-06-1977",,,,,,,,,,
"25-02-2002","31-12-4712",3388,"310",,,"01-01-1999","04-08-1964",,,,,,,,,,
"25-02-1999","31-12-4712",12009,"1257",,,"25-02-1999","09-12-1961",,,,,,,,,,
"25-01-2003","31-12-4712",11092,"1193",,,"27-05-2001","19-06-1966",,,,,,,,,,
"25-01-1998","31-12-4712",627,"146",,,"25-01-1998","11-11-1970",,,,,,,,,,
"24-12-2004","31-12-4712",10938,"1116",,,"02-01-2001","10-09-1959",,,,,,,,,,
"24-11-2004","31-12-4712",18784,"1573",,,"09-09-2001","03-03-1966",,,,,,,,,,
"24-10-1994","31-12-4712",23,"22",,,"24-10-1994","29-10-1963",,,,,,,,,,
"24-09-2010","31-12-4712",29122,"1918",,,"07-08-2008","02-02-1970",,,,,,,,,,
"24-09-2010","31-12-4712",29146,"1934",,,"07-08-2009","02-02-1970",,,,,,,,,,
"24-09-2010","31-12-4712",29585,"340",,,"07-08-2009","02-02-1970",,,,,,,,,,
"24-09-2010","31-12-4712",29561,"324",,,"07-08-2008","02-02-1970",,,,,,,,,,
"24-09-2008","31-12-4712",22903,"1704",,,"07-08-2006","03-02-1970",,,,,,,,,,
"24-09-2008","31-12-4712",27773,"308",,,"07-08-2006","12-10-1969",,,,,,,,,,
"24-09-2008","31-12-4712",27797,"159",,,"07-08-2006","12-10-1969",,,,,,,,,,
"24-09-2008","31-12-4712",29267,"1946",,,"20-12-2001","10-09-1959",,,,,,,,,,
"24-09-2008","31-12-4712",22927,"1720",,,"07-08-2007","03-02-1970",,,,,,,,,,
"24-09-2007","31-12-4712",14186,"1533",,,"15-08-2004","12-10-1969",,,,,,,,,,
"24-09-2007","31-12-4712",16594,"1556",,,"07-08-2005","12-10-1969",,,,,,,,,,
"24-09-2007","31-12-4712",23275,"203",,,"07-08-2005","12-10-1969",,,,,,,,,,
"24-09-2007","31-12-4712",24200,"143",,,"07-08-2005","12-10-1969",,,,,,,,,,
"24-09-2005","31-12-4712",23164,"1811",,,"20-12-1996","10-09-1959",,,,,,,,,,
"24-08-2004","31-12-4712",10921,"1099",,,"21-03-2004","12-12-1966",,,,,,,,,,
"24-08-2003","31-12-4712",7879,"45",,,"01-01-1995","18-10-1953",,,,,,,,,,
"24-08-1999","31-12-4712",3350,"309",,,"24-08-2000","04-01-1965",,,,,,,,,,
"24-07-2012","31-12-4712",29118,"1914",,,"01-07-2008","19-07-1965",,,,,,,,,,
"24-07-2012","31-12-4712",29142,"1930",,,"01-07-2009","19-07-1965",,,,,,,,,,
"24-07-2012","31-12-4712",29581,"336",,,"01-07-2009","19-07-1965",,,,,,,,,,
"24-07-2012","31-12-4712",29557,"320",,,"01-07-2008","19-07-1965",,,,,,,,,,
"24-07-2010","31-12-4712",22923,"1716",,,"01-07-2007","03-02-1970",,,,,,,,,,
"24-07-2010","31-12-4712",27769,"304",,,"01-07-2006","02-09-1965",,,,,,,,,,
"24-07-2010","31-12-4712",22899,"1700",,,"01-07-2006","03-02-1970",,,,,,,,,,
"24-07-2009","31-12-4712",23271,"199",,,"01-07-2005","02-09-1965",,,,,,,,,,
"24-07-2009","31-12-4712",27793,"155",,,"01-07-2006","02-09-1965",,,,,,,,,,
"24-07-2009","31-12-4712",24196,"139",,,"01-07-2005","02-09-1965",,,,,,,,,,
"24-07-2009","31-12-4712",16590,"1552",,,"01-07-2005","02-09-1965",,,,,,,,,,
"24-07-2007","31-12-4712",14182,"1529",,,"01-07-2004","02-09-1965",,,,,,,,,,
"24-06-2011","31-12-4712",29121,"1917",,,"05-07-2008","12-10-1969",,,,,,,,,,
"24-06-2011","31-12-4712",29145,"1933",,,"05-07-2009","12-10-1969",,,,,,,,,,
"24-06-2011","31-12-4712",29560,"323",,,"05-07-2008","12-10-1969",,,,,,,,,,
"24-06-2011","31-12-4712",29584,"339",,,"05-07-2009","12-10-1969",,,,,,,,,,
"24-06-2009","31-12-4712",22902,"1703",,,"05-07-2006","12-10-1969",,,,,,,,,,
"24-06-2009","31-12-4712",27772,"307",,,"05-07-2006","30-11-1974",,,,,,,,,,
"24-06-2009","31-12-4712",22926,"1719",,,"05-07-2007","12-10-1969",,,,,,,,,,
"24-06-2008","31-12-4712",24199,"142",,,"05-07-2005","30-11-1974",,,,,,,,,,
"24-06-2008","31-12-4712",27796,"158",,,"05-07-2006","30-11-1974",,,,,,,,,,
"24-06-2008","31-12-4712",16593,"1555",,,"05-07-2005","30-11-1974",,,,,,,,,,
"24-06-2008","31-12-4712",23274,"202",,,"05-07-2005","30-11-1974",,,,,,,,,,
"24-06-2007","31-12-4712",14185,"1532",,,"05-07-2004","30-11-1974",,,,,,,,,,
